url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR018/ERR018546/ERR018546_2.fastq.gz	2855ce0787d9b6c392a865bea0511df8	1000 Genomes on GRCh38	sequence	Low coverage WGS	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015737/ERR015737_1.fastq.gz	459d1e5487da5d9644e5066a3cc10c9c	1000 Genomes on GRCh38	sequence	Low coverage WGS	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR013/ERR013103/ERR013103_1.fastq.gz	ce61a2ad1de578367aff101ebf823653	1000 Genomes on GRCh38	sequence	Low coverage WGS	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR013/ERR013103/ERR013103_2.fastq.gz	e7b45843594a278cae6bf822d38bb774	1000 Genomes on GRCh38	sequence	Low coverage WGS	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015737/ERR015737_2.fastq.gz	93742b59c51a1fa6d7402386cb48d4c6	1000 Genomes on GRCh38	sequence	Low coverage WGS	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR018/ERR018546/ERR018546_1.fastq.gz	397eba2574628ee09bfb1d5dbc58ad01	1000 Genomes on GRCh38	sequence	Low coverage WGS	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070503/SRR070503_1.fastq.gz	2751e6ae0c31bcadf901cf28fa7f62ee	1000 Genomes on GRCh38	sequence	Exome	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070790/SRR070790_1.fastq.gz	a6e3de639a08c4d2700a0f1a9925845c	1000 Genomes on GRCh38	sequence	Exome	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070503/SRR070503_2.fastq.gz	0c38b81cb41d07e96cf7ee0c9f00548d	1000 Genomes on GRCh38	sequence	Exome	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070790/SRR070790_2.fastq.gz	3ffd10dc95e5a850b4a440bf2a59e4d1	1000 Genomes on GRCh38	sequence	Exome	HG00190	Finnish in Finland	http://www.1000genomes.org/about#g1k_data_reuse
